cell_id,dataset,condition,realization,order,checkpoint,metric,planned,scored,numerator,value,evaluated_value,status,status_counts
ce0d0ffc2a58a60e27c460d9,counterfact,R1_learned_ff,0,100,300,ES,300,300,300,1,1,complete,"{""ok"":300}"
ce0d0ffc2a58a60e27c460d9,counterfact,R1_learned_ff,0,100,300,RET-ES,300,300,300,1,1,complete,"{""ok"":300}"
ce0d0ffc2a58a60e27c460d9,counterfact,R1_learned_ff,0,100,300,RET-GS,300,300,242,0.80666667,0.80666667,complete,"{""ok"":300}"
ce0d0ffc2a58a60e27c460d9,counterfact,R1_learned_ff,0,100,300,LS,50,50,50,1,1,complete,"{""ok"":50}"
ce0d0ffc2a58a60e27c460d9,counterfact,R1_learned_ff,0,100,1000,ES,1000,1000,989,0.989,0.989,complete,"{""ok"":1000}"
ce0d0ffc2a58a60e27c460d9,counterfact,R1_learned_ff,0,100,1000,RET-ES,1000,1000,974,0.974,0.974,complete,"{""ok"":1000}"
ce0d0ffc2a58a60e27c460d9,counterfact,R1_learned_ff,0,100,1000,RET-GS,1000,1000,691.5,0.6915,0.6915,complete,"{""ok"":1000}"
ce0d0ffc2a58a60e27c460d9,counterfact,R1_learned_ff,0,100,1000,LS,50,50,50,1,1,complete,"{""ok"":50}"
95dfb24c6361b2d38dd60e9b,counterfact,R1_learned_ff,0,101,100,ES,100,100,100,1,1,complete,"{""ok"":100}"
95dfb24c6361b2d38dd60e9b,counterfact,R1_learned_ff,0,101,100,RET-ES,100,100,100,1,1,complete,"{""ok"":100}"
95dfb24c6361b2d38dd60e9b,counterfact,R1_learned_ff,0,101,100,RET-GS,100,100,78.5,0.785,0.785,complete,"{""ok"":100}"
95dfb24c6361b2d38dd60e9b,counterfact,R1_learned_ff,0,101,100,LS,50,50,50,1,1,complete,"{""ok"":50}"
95dfb24c6361b2d38dd60e9b,counterfact,R1_learned_ff,0,101,300,ES,300,300,300,1,1,complete,"{""ok"":300}"
95dfb24c6361b2d38dd60e9b,counterfact,R1_learned_ff,0,101,300,RET-ES,300,300,300,1,1,complete,"{""ok"":300}"
95dfb24c6361b2d38dd60e9b,counterfact,R1_learned_ff,0,101,300,RET-GS,300,300,218,0.72666667,0.72666667,complete,"{""ok"":300}"
95dfb24c6361b2d38dd60e9b,counterfact,R1_learned_ff,0,101,300,LS,50,50,50,1,1,complete,"{""ok"":50}"
95dfb24c6361b2d38dd60e9b,counterfact,R1_learned_ff,0,101,1000,ES,1000,1000,993,0.993,0.993,complete,"{""ok"":1000}"
95dfb24c6361b2d38dd60e9b,counterfact,R1_learned_ff,0,101,1000,RET-ES,1000,1000,974,0.974,0.974,complete,"{""ok"":1000}"
95dfb24c6361b2d38dd60e9b,counterfact,R1_learned_ff,0,101,1000,RET-GS,1000,1000,691.5,0.6915,0.6915,complete,"{""ok"":1000}"
95dfb24c6361b2d38dd60e9b,counterfact,R1_learned_ff,0,101,1000,LS,50,50,50,1,1,complete,"{""ok"":50}"
6d0915056b1e76d8ee8795ff,counterfact,R1_learned_ff,0,102,100,ES,100,100,100,1,1,complete,"{""ok"":100}"
6d0915056b1e76d8ee8795ff,counterfact,R1_learned_ff,0,102,100,RET-ES,100,100,100,1,1,complete,"{""ok"":100}"
6d0915056b1e76d8ee8795ff,counterfact,R1_learned_ff,0,102,100,RET-GS,100,100,76,0.76,0.76,complete,"{""ok"":100}"
6d0915056b1e76d8ee8795ff,counterfact,R1_learned_ff,0,102,100,LS,50,50,50,1,1,complete,"{""ok"":50}"
6d0915056b1e76d8ee8795ff,counterfact,R1_learned_ff,0,102,300,ES,300,300,300,1,1,complete,"{""ok"":300}"
6d0915056b1e76d8ee8795ff,counterfact,R1_learned_ff,0,102,300,RET-ES,300,300,300,1,1,complete,"{""ok"":300}"
6d0915056b1e76d8ee8795ff,counterfact,R1_learned_ff,0,102,300,RET-GS,300,300,224.5,0.74833333,0.74833333,complete,"{""ok"":300}"
6d0915056b1e76d8ee8795ff,counterfact,R1_learned_ff,0,102,300,LS,50,50,50,1,1,complete,"{""ok"":50}"
6d0915056b1e76d8ee8795ff,counterfact,R1_learned_ff,0,102,1000,ES,1000,1000,993,0.993,0.993,complete,"{""ok"":1000}"
6d0915056b1e76d8ee8795ff,counterfact,R1_learned_ff,0,102,1000,RET-ES,1000,1000,974,0.974,0.974,complete,"{""ok"":1000}"
6d0915056b1e76d8ee8795ff,counterfact,R1_learned_ff,0,102,1000,RET-GS,1000,1000,691.5,0.6915,0.6915,complete,"{""ok"":1000}"
6d0915056b1e76d8ee8795ff,counterfact,R1_learned_ff,0,102,1000,LS,50,50,50,1,1,complete,"{""ok"":50}"
7c9675a69d832a772070cb2d,counterfact,R1_learned_ff,0,103,100,ES,100,100,100,1,1,complete,"{""ok"":100}"
7c9675a69d832a772070cb2d,counterfact,R1_learned_ff,0,103,100,RET-ES,100,100,100,1,1,complete,"{""ok"":100}"
7c9675a69d832a772070cb2d,counterfact,R1_learned_ff,0,103,100,RET-GS,100,100,83.5,0.835,0.835,complete,"{""ok"":100}"
7c9675a69d832a772070cb2d,counterfact,R1_learned_ff,0,103,100,LS,50,50,50,1,1,complete,"{""ok"":50}"
7c9675a69d832a772070cb2d,counterfact,R1_learned_ff,0,103,300,ES,300,300,299,0.99666667,0.99666667,complete,"{""ok"":300}"
7c9675a69d832a772070cb2d,counterfact,R1_learned_ff,0,103,300,RET-ES,300,300,299,0.99666667,0.99666667,complete,"{""ok"":300}"
7c9675a69d832a772070cb2d,counterfact,R1_learned_ff,0,103,300,RET-GS,300,300,227.5,0.75833333,0.75833333,complete,"{""ok"":300}"
7c9675a69d832a772070cb2d,counterfact,R1_learned_ff,0,103,300,LS,50,50,50,1,1,complete,"{""ok"":50}"
7c9675a69d832a772070cb2d,counterfact,R1_learned_ff,0,103,1000,ES,1000,1000,991,0.991,0.991,complete,"{""ok"":1000}"
7c9675a69d832a772070cb2d,counterfact,R1_learned_ff,0,103,1000,RET-ES,1000,1000,974,0.974,0.974,complete,"{""ok"":1000}"
7c9675a69d832a772070cb2d,counterfact,R1_learned_ff,0,103,1000,RET-GS,1000,1000,691.5,0.6915,0.6915,complete,"{""ok"":1000}"
7c9675a69d832a772070cb2d,counterfact,R1_learned_ff,0,103,1000,LS,50,50,50,1,1,complete,"{""ok"":50}"
95016bc16e89cfcccccc40b8,counterfact,R1_learned_ff,0,104,100,ES,100,100,100,1,1,complete,"{""ok"":100}"
95016bc16e89cfcccccc40b8,counterfact,R1_learned_ff,0,104,100,RET-ES,100,100,100,1,1,complete,"{""ok"":100}"
95016bc16e89cfcccccc40b8,counterfact,R1_learned_ff,0,104,100,RET-GS,100,100,83,0.83,0.83,complete,"{""ok"":100}"
95016bc16e89cfcccccc40b8,counterfact,R1_learned_ff,0,104,100,LS,50,50,49,0.98,0.98,complete,"{""ok"":50}"
95016bc16e89cfcccccc40b8,counterfact,R1_learned_ff,0,104,300,ES,300,300,300,1,1,complete,"{""ok"":300}"
95016bc16e89cfcccccc40b8,counterfact,R1_learned_ff,0,104,300,RET-ES,300,300,300,1,1,complete,"{""ok"":300}"
95016bc16e89cfcccccc40b8,counterfact,R1_learned_ff,0,104,300,RET-GS,300,300,238.5,0.795,0.795,complete,"{""ok"":300}"
95016bc16e89cfcccccc40b8,counterfact,R1_learned_ff,0,104,300,LS,50,50,49,0.98,0.98,complete,"{""ok"":50}"
95016bc16e89cfcccccc40b8,counterfact,R1_learned_ff,0,104,1000,ES,1000,1000,991,0.991,0.991,complete,"{""ok"":1000}"
95016bc16e89cfcccccc40b8,counterfact,R1_learned_ff,0,104,1000,RET-ES,1000,1000,974,0.974,0.974,complete,"{""ok"":1000}"
95016bc16e89cfcccccc40b8,counterfact,R1_learned_ff,0,104,1000,RET-GS,1000,1000,691.5,0.6915,0.6915,complete,"{""ok"":1000}"
95016bc16e89cfcccccc40b8,counterfact,R1_learned_ff,0,104,1000,LS,50,50,50,1,1,complete,"{""ok"":50}"
43925e53c31860219a85ef90,mquake,R1_learned_ff,0,100,100,ES,100,100,100,1,1,complete,"{""ok"":100}"
43925e53c31860219a85ef90,mquake,R1_learned_ff,0,100,100,RET-ES,100,100,100,1,1,complete,"{""ok"":100}"
43925e53c31860219a85ef90,mquake,R1_learned_ff,0,100,100,RET-GS,100,100,68,0.68,0.68,complete,"{""ok"":100}"
43925e53c31860219a85ef90,mquake,R1_learned_ff,0,100,100,LS,50,50,50,1,1,complete,"{""ok"":50}"
43925e53c31860219a85ef90,mquake,R1_learned_ff,0,100,300,ES,300,300,300,1,1,complete,"{""ok"":300}"
43925e53c31860219a85ef90,mquake,R1_learned_ff,0,100,300,RET-ES,300,300,300,1,1,complete,"{""ok"":300}"
43925e53c31860219a85ef90,mquake,R1_learned_ff,0,100,300,RET-GS,300,300,211,0.70333333,0.70333333,complete,"{""ok"":300}"
43925e53c31860219a85ef90,mquake,R1_learned_ff,0,100,300,LS,50,50,50,1,1,complete,"{""ok"":50}"
c29ee18fb21ba6b387ede6e8,mquake,R1_learned_ff,0,101,100,ES,100,100,100,1,1,complete,"{""ok"":100}"
c29ee18fb21ba6b387ede6e8,mquake,R1_learned_ff,0,101,100,RET-ES,100,100,100,1,1,complete,"{""ok"":100}"
c29ee18fb21ba6b387ede6e8,mquake,R1_learned_ff,0,101,100,RET-GS,100,100,60,0.6,0.6,complete,"{""ok"":100}"
c29ee18fb21ba6b387ede6e8,mquake,R1_learned_ff,0,101,100,LS,50,50,50,1,1,complete,"{""ok"":50}"
c29ee18fb21ba6b387ede6e8,mquake,R1_learned_ff,0,101,300,ES,300,300,300,1,1,complete,"{""ok"":300}"
c29ee18fb21ba6b387ede6e8,mquake,R1_learned_ff,0,101,300,RET-ES,300,300,300,1,1,complete,"{""ok"":300}"
c29ee18fb21ba6b387ede6e8,mquake,R1_learned_ff,0,101,300,RET-GS,300,300,211,0.70333333,0.70333333,complete,"{""ok"":300}"
c29ee18fb21ba6b387ede6e8,mquake,R1_learned_ff,0,101,300,LS,50,50,50,1,1,complete,"{""ok"":50}"
54879da4dcdb0f106f98080a,mquake,R1_learned_ff,0,102,100,ES,100,100,100,1,1,complete,"{""ok"":100}"
54879da4dcdb0f106f98080a,mquake,R1_learned_ff,0,102,100,RET-ES,100,100,100,1,1,complete,"{""ok"":100}"
54879da4dcdb0f106f98080a,mquake,R1_learned_ff,0,102,100,RET-GS,100,100,64,0.64,0.64,complete,"{""ok"":100}"
54879da4dcdb0f106f98080a,mquake,R1_learned_ff,0,102,100,LS,50,50,50,1,1,complete,"{""ok"":50}"
54879da4dcdb0f106f98080a,mquake,R1_learned_ff,0,102,300,ES,300,300,300,1,1,complete,"{""ok"":300}"
54879da4dcdb0f106f98080a,mquake,R1_learned_ff,0,102,300,RET-ES,300,300,300,1,1,complete,"{""ok"":300}"
54879da4dcdb0f106f98080a,mquake,R1_learned_ff,0,102,300,RET-GS,300,300,211,0.70333333,0.70333333,complete,"{""ok"":300}"
54879da4dcdb0f106f98080a,mquake,R1_learned_ff,0,102,300,LS,50,50,50,1,1,complete,"{""ok"":50}"
78ebbc03946239c1d637154c,mquake,R1_learned_ff,0,103,100,ES,100,100,100,1,1,complete,"{""ok"":100}"
78ebbc03946239c1d637154c,mquake,R1_learned_ff,0,103,100,RET-ES,100,100,100,1,1,complete,"{""ok"":100}"
78ebbc03946239c1d637154c,mquake,R1_learned_ff,0,103,100,RET-GS,100,100,66,0.66,0.66,complete,"{""ok"":100}"
78ebbc03946239c1d637154c,mquake,R1_learned_ff,0,103,100,LS,50,50,50,1,1,complete,"{""ok"":50}"
78ebbc03946239c1d637154c,mquake,R1_learned_ff,0,103,300,ES,300,300,300,1,1,complete,"{""ok"":300}"
78ebbc03946239c1d637154c,mquake,R1_learned_ff,0,103,300,RET-ES,300,300,300,1,1,complete,"{""ok"":300}"
78ebbc03946239c1d637154c,mquake,R1_learned_ff,0,103,300,RET-GS,300,300,211,0.70333333,0.70333333,complete,"{""ok"":300}"
78ebbc03946239c1d637154c,mquake,R1_learned_ff,0,103,300,LS,50,50,50,1,1,complete,"{""ok"":50}"
b1d1e53944241333ec5603d4,mquake,R1_learned_ff,0,104,100,ES,100,100,100,1,1,complete,"{""ok"":100}"
b1d1e53944241333ec5603d4,mquake,R1_learned_ff,0,104,100,RET-ES,100,100,100,1,1,complete,"{""ok"":100}"
b1d1e53944241333ec5603d4,mquake,R1_learned_ff,0,104,100,RET-GS,100,100,70,0.7,0.7,complete,"{""ok"":100}"
b1d1e53944241333ec5603d4,mquake,R1_learned_ff,0,104,100,LS,50,50,50,1,1,complete,"{""ok"":50}"
b1d1e53944241333ec5603d4,mquake,R1_learned_ff,0,104,300,ES,300,300,300,1,1,complete,"{""ok"":300}"
b1d1e53944241333ec5603d4,mquake,R1_learned_ff,0,104,300,RET-ES,300,300,300,1,1,complete,"{""ok"":300}"
b1d1e53944241333ec5603d4,mquake,R1_learned_ff,0,104,300,RET-GS,300,300,211,0.70333333,0.70333333,complete,"{""ok"":300}"
b1d1e53944241333ec5603d4,mquake,R1_learned_ff,0,104,300,LS,50,50,50,1,1,complete,"{""ok"":50}"
f3dbf1a3d5860a628e7d68ef,zsre,R1_nonlearned,0,100,100,ES,100,100,100,1,1,complete,"{""ok"":100}"
f3dbf1a3d5860a628e7d68ef,zsre,R1_nonlearned,0,100,100,RET-ES,100,100,100,1,1,complete,"{""ok"":100}"
f3dbf1a3d5860a628e7d68ef,zsre,R1_nonlearned,0,100,100,RET-GS,100,100,58,0.58,0.58,complete,"{""ok"":100}"
f3dbf1a3d5860a628e7d68ef,zsre,R1_nonlearned,0,100,100,LS,50,50,50,1,1,complete,"{""ok"":50}"
f3dbf1a3d5860a628e7d68ef,zsre,R1_nonlearned,0,100,300,ES,300,300,300,1,1,complete,"{""ok"":300}"
f3dbf1a3d5860a628e7d68ef,zsre,R1_nonlearned,0,100,300,RET-ES,300,300,300,1,1,complete,"{""ok"":300}"
f3dbf1a3d5860a628e7d68ef,zsre,R1_nonlearned,0,100,300,RET-GS,300,300,162,0.54,0.54,complete,"{""ok"":300}"
f3dbf1a3d5860a628e7d68ef,zsre,R1_nonlearned,0,100,300,LS,50,50,50,1,1,complete,"{""ok"":50}"
f3dbf1a3d5860a628e7d68ef,zsre,R1_nonlearned,0,100,1000,ES,1000,1000,1000,1,1,complete,"{""ok"":1000}"
f3dbf1a3d5860a628e7d68ef,zsre,R1_nonlearned,0,100,1000,RET-ES,1000,1000,1000,1,1,complete,"{""ok"":1000}"
f3dbf1a3d5860a628e7d68ef,zsre,R1_nonlearned,0,100,1000,RET-GS,1000,1000,502,0.502,0.502,complete,"{""ok"":1000}"
f3dbf1a3d5860a628e7d68ef,zsre,R1_nonlearned,0,100,1000,LS,50,50,49,0.98,0.98,complete,"{""ok"":50}"
be44dfb501724b72adcbd747,zsre,R1_nonlearned,0,101,100,ES,100,100,100,1,1,complete,"{""ok"":100}"
be44dfb501724b72adcbd747,zsre,R1_nonlearned,0,101,100,RET-ES,100,100,100,1,1,complete,"{""ok"":100}"
be44dfb501724b72adcbd747,zsre,R1_nonlearned,0,101,100,RET-GS,100,100,65,0.65,0.65,complete,"{""ok"":100}"
be44dfb501724b72adcbd747,zsre,R1_nonlearned,0,101,100,LS,50,50,50,1,1,complete,"{""ok"":50}"
be44dfb501724b72adcbd747,zsre,R1_nonlearned,0,101,300,ES,300,300,300,1,1,complete,"{""ok"":300}"
be44dfb501724b72adcbd747,zsre,R1_nonlearned,0,101,300,RET-ES,300,300,300,1,1,complete,"{""ok"":300}"
be44dfb501724b72adcbd747,zsre,R1_nonlearned,0,101,300,RET-GS,300,300,173,0.57666667,0.57666667,complete,"{""ok"":300}"
be44dfb501724b72adcbd747,zsre,R1_nonlearned,0,101,300,LS,50,50,50,1,1,complete,"{""ok"":50}"
be44dfb501724b72adcbd747,zsre,R1_nonlearned,0,101,1000,ES,1000,1000,1000,1,1,complete,"{""ok"":1000}"
be44dfb501724b72adcbd747,zsre,R1_nonlearned,0,101,1000,RET-ES,1000,1000,1000,1,1,complete,"{""ok"":1000}"
be44dfb501724b72adcbd747,zsre,R1_nonlearned,0,101,1000,RET-GS,1000,1000,502,0.502,0.502,complete,"{""ok"":1000}"
be44dfb501724b72adcbd747,zsre,R1_nonlearned,0,101,1000,LS,50,50,49,0.98,0.98,complete,"{""ok"":50}"
5263d61e569d7cb4ceb4e617,zsre,R1_nonlearned,0,102,100,ES,100,100,100,1,1,complete,"{""ok"":100}"
5263d61e569d7cb4ceb4e617,zsre,R1_nonlearned,0,102,100,RET-ES,100,100,100,1,1,complete,"{""ok"":100}"
5263d61e569d7cb4ceb4e617,zsre,R1_nonlearned,0,102,100,RET-GS,100,100,59,0.59,0.59,complete,"{""ok"":100}"
5263d61e569d7cb4ceb4e617,zsre,R1_nonlearned,0,102,100,LS,50,50,50,1,1,complete,"{""ok"":50}"
5263d61e569d7cb4ceb4e617,zsre,R1_nonlearned,0,102,300,ES,300,300,300,1,1,complete,"{""ok"":300}"
5263d61e569d7cb4ceb4e617,zsre,R1_nonlearned,0,102,300,RET-ES,300,300,300,1,1,complete,"{""ok"":300}"
5263d61e569d7cb4ceb4e617,zsre,R1_nonlearned,0,102,300,RET-GS,300,300,171,0.57,0.57,complete,"{""ok"":300}"
5263d61e569d7cb4ceb4e617,zsre,R1_nonlearned,0,102,300,LS,50,50,49,0.98,0.98,complete,"{""ok"":50}"
5263d61e569d7cb4ceb4e617,zsre,R1_nonlearned,0,102,1000,ES,1000,1000,1000,1,1,complete,"{""ok"":1000}"
5263d61e569d7cb4ceb4e617,zsre,R1_nonlearned,0,102,1000,RET-ES,1000,1000,1000,1,1,complete,"{""ok"":1000}"
5263d61e569d7cb4ceb4e617,zsre,R1_nonlearned,0,102,1000,RET-GS,1000,1000,502,0.502,0.502,complete,"{""ok"":1000}"
5263d61e569d7cb4ceb4e617,zsre,R1_nonlearned,0,102,1000,LS,50,50,49,0.98,0.98,complete,"{""ok"":50}"
81b1e9cb4e216a6cd1cd565a,zsre,R1_nonlearned,0,103,100,ES,100,100,100,1,1,complete,"{""ok"":100}"
81b1e9cb4e216a6cd1cd565a,zsre,R1_nonlearned,0,103,100,RET-ES,100,100,100,1,1,complete,"{""ok"":100}"
81b1e9cb4e216a6cd1cd565a,zsre,R1_nonlearned,0,103,100,RET-GS,100,100,64,0.64,0.64,complete,"{""ok"":100}"
81b1e9cb4e216a6cd1cd565a,zsre,R1_nonlearned,0,103,100,LS,50,50,50,1,1,complete,"{""ok"":50}"
81b1e9cb4e216a6cd1cd565a,zsre,R1_nonlearned,0,103,300,ES,300,300,300,1,1,complete,"{""ok"":300}"
81b1e9cb4e216a6cd1cd565a,zsre,R1_nonlearned,0,103,300,RET-ES,300,300,300,1,1,complete,"{""ok"":300}"
81b1e9cb4e216a6cd1cd565a,zsre,R1_nonlearned,0,103,300,RET-GS,300,300,174,0.58,0.58,complete,"{""ok"":300}"
81b1e9cb4e216a6cd1cd565a,zsre,R1_nonlearned,0,103,300,LS,50,50,50,1,1,complete,"{""ok"":50}"
81b1e9cb4e216a6cd1cd565a,zsre,R1_nonlearned,0,103,1000,ES,1000,1000,1000,1,1,complete,"{""ok"":1000}"
